"","Escatec_summary_Eva$`Shim number`","mean(na.omit(test_gruppiert$`Membrane resonance kHz`))"
"1","T16-0578",80.4411793158133
"2","T16-0585",80.4411793158133
"3","T16-0596",80.4411793158133
"4","T16-0611",80.4411793158133
"5","T16-0630",80.4411793158133
"6","T16-0803",80.4411793158133
"7","T16-0823",80.4411793158133
"8","T16-0824",80.4411793158133
"9","T16-0844",80.4411793158133
"10","T16-0850",80.4411793158133
"11","T16-0867",80.4411793158133
"12","T16-0894",80.4411793158133
"13","T16-0895",80.4411793158133
"14","T16-0920",80.4411793158133
"15","T17-0050",80.4411793158133
"16","T17-0183",80.4411793158133
"17","T17-0187",80.4411793158133
"18","T17-0190",80.4411793158133
"19","T17-0192",80.4411793158133
"20","T17-0193",80.4411793158133
"21","T17-0209",80.4411793158133
"22","T17-0210",80.4411793158133
"23","T17-0211",80.4411793158133
"24","T17-0213",80.4411793158133
"25","T17-0214",80.4411793158133
"26","T17-0216",80.4411793158133
"27","T17-0221",80.4411793158133
"28","T17-0222",80.4411793158133
"29","T17-0240",80.4411793158133
"30","T17-0241",80.4411793158133
"31","T17-0242",80.4411793158133
"32","T17-0243",80.4411793158133
"33","T17-0244",80.4411793158133
"34","T17-0248",80.4411793158133
"35","T17-0249",80.4411793158133
"36","T17-0271",80.4411793158133
"37","T17-0293",80.4411793158133
"38","T17-0401",80.4411793158133
"39","T17-0403",80.4411793158133
"40","T17-0643",80.4411793158133
"41","T17-0645",80.4411793158133
"42","T17-0660",80.4411793158133
"43","T17-0708",80.4411793158133
"44","T17-0722",80.4411793158133
"45","T17-0746",80.4411793158133
"46","T17-0748",80.4411793158133
"47","T17-0750",80.4411793158133
"48","T17-0777",80.4411793158133
"49","T17-0789",80.4411793158133
"50","T17-0798",80.4411793158133
"51","T17-0812",80.4411793158133
"52","T17-0816",80.4411793158133
"53","T17-0817",80.4411793158133
"54","T17-0838",80.4411793158133
"55","T17-0841",80.4411793158133
"56","T17-0844",80.4411793158133
"57","T17-0845",80.4411793158133
"58","T17-0847",80.4411793158133
"59","T17-0904",80.4411793158133
"60","T17-0906",80.4411793158133
"61","T17-0911",80.4411793158133
"62","T17-0949",80.4411793158133
"63","T17-0954",80.4411793158133
"64","T17-0957",80.4411793158133
"65","T17-0958",80.4411793158133
"66","T17-0959",80.4411793158133
"67","T17-0960",80.4411793158133
"68","T17-0988",80.4411793158133
"69","T17-0990",80.4411793158133
"70","T17-0994",80.4411793158133
"71","T17-0995",80.4411793158133
"72","T17-0996",80.4411793158133
"73","T17-1000",80.4411793158133
"74","T17-1001",80.4411793158133
"75","T17-1002",80.4411793158133
"76","T17-1087",80.4411793158133
"77","T17-1088",80.4411793158133
"78","T17-1089",80.4411793158133
"79","T17-1091",80.4411793158133
"80","T17-1093",80.4411793158133
"81","T17-1111",80.4411793158133
"82","T17-1112",80.4411793158133
"83",NA,80.4411793158133
